tick,alive,alive_pct,dead,susceptible,exposed,infectious_asymptomatic,infectious_symptomatic,infectious_total,new_exposed,effective_r,recovered,vaccinated,gdp,unemployment_rate_pct,national_debt,bank_reserves,bank_in_crisis,healthcare_patients,healthcare_capacity,healthcare_occupancy_pct,healthcare_overwhelmed,companies_struggling,companies_bankrupt,lockdown_level,mask_mandate,stimulus_amount,vaccination_rate,testing_level,mean_wallet,median_wallet,consumer_demand_index
1,10000,1.0,0,9990,0,10,0,10,0,0.0,0,18,62993.7,0.0,14560.0,15000000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,1155.84,1153.71,0.7
2,10000,1.0,0,9990,0,10,0,10,0,0.0,0,36,64610.28,0.0,30640.0,15000000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,1115.23,1112.48,0.7
3,10000,1.0,0,9989,1,10,0,10,1,0.1,0,54,66717.0,0.0,50160.0,15000000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,1075.51,1070.68,0.7
4,10000,1.0,0,9989,1,0,0,0,0,0.0,10,72,62201.16,0.0,74320.0,15000000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,1035.48,1028.77,0.7
5,10000,1.0,0,9989,1,0,0,0,0,0.0,10,90,65305.8,0.0,103760.0,15000000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,996.49,985.64,0.7
6,10000,1.0,0,9989,1,0,0,0,0,0.0,10,108,63762.3,0.0,140560.0,15000000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,958.04,945.4,0.7
7,10000,1.0,0,9989,0,1,0,1,0,0.0,10,126,65793.42,0.0,186080.0,15000000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,921.0,903.09,0.7
8,10000,1.0,0,9989,0,1,0,1,0,0.0,10,144,63133.56,0.0,244320.0,15000000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,884.7,861.46,0.7
9,10000,1.0,0,9989,0,1,0,1,0,0.0,10,162,67345.74,0.0,314800.0,15000000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,850.41,818.65,0.7
10,10000,1.0,0,9989,0,1,0,1,0,0.0,10,180,65211.3,0.0,399760.0,15000000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,817.22,774.59,0.7
11,10000,1.0,0,9989,0,0,0,0,0,0.0,11,198,64693.44,0.0,503200.0,15000000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,785.46,734.01,0.7
12,10000,1.0,0,9989,0,0,0,0,0,0.0,11,216,68105.52,0.0,619120.0,15000000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,755.67,692.2,0.7
13,10000,1.0,0,9989,0,0,0,0,0,0.0,11,234,62498.52,0.0,753360.0,15000000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,727.18,650.72,0.7
14,10000,1.0,0,9989,0,0,0,0,0,0.0,11,252,66853.08,0.0,908080.0,15000000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,701.13,609.91,0.7
15,10000,1.0,0,9989,0,0,0,0,0,0.0,11,270,65396.52,0.0,1079680.0,15000000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,676.57,566.74,0.7
16,10000,1.0,0,9989,0,0,0,0,0,0.0,11,288,65094.12,0.0,1266160.0,15000000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,653.47,524.83,0.7
17,10000,1.0,0,9989,0,0,0,0,0,0.0,11,306,64595.16,0.0,1473920.0,15000000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,632.16,479.88,0.7
18,10000,1.0,0,9989,0,0,0,0,0,0.0,11,324,66243.24,0.0,1693440.0,15000000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,612.69,441.73,0.7
19,10000,1.0,0,9989,0,0,0,0,0,0.0,11,342,63931.14,0.04,1932880.0,14950000.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,594.65,404.92,0.7
20,10000,1.0,0,9989,0,0,0,0,0,0.0,11,360,69967.8,0.04,2181600.0,14950400.0,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,578.53,381.19,0.7
21,10000,1.0,0,9989,0,0,0,0,0,0.0,11,378,65780.82,0.04,2444960.0,14950796.8,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,563.33,376.34,0.7
22,10000,1.0,0,9989,0,0,0,0,0,0.0,11,396,68769.54,0.04,2725680.0,14951190.43,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,549.93,372.02,0.7
23,10000,1.0,0,9989,0,0,0,0,0,0.0,11,414,63209.16,0.04,3013920.0,14951580.9,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,536.64,369.34,0.7
24,10000,1.0,0,9989,0,0,0,0,0,0.0,11,432,66868.2,0.13,3312000.0,14851968.25,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,525.14,366.75,0.7
25,10000,1.0,0,9989,0,0,0,0,0,0.0,11,450,65903.04,0.13,3624800.0,14853152.51,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,514.78,365.04,0.7
26,10000,1.0,0,9989,0,0,0,0,0,0.0,11,468,65003.4,0.13,3945520.0,14854327.29,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,504.89,362.86,0.7
27,10000,1.0,0,9989,0,0,0,0,0,0.0,11,486,62802.18,0.13,4273520.0,14855492.67,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,495.77,360.44,0.7
28,10000,1.0,0,9989,0,0,0,0,0,0.0,11,504,63355.32,0.13,4613680.0,14856648.73,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,487.5,359.19,0.7
29,10000,1.0,0,9989,0,0,0,0,0,0.0,11,522,65546.46,0.13,4959520.0,14857795.54,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,480.42,358.07,0.7
30,10000,1.0,0,9989,0,0,0,0,0,0.0,11,540,65964.78,0.13,5308000.0,14858933.18,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,473.74,356.65,0.7
31,10000,1.0,0,9989,0,0,0,0,0,0.0,11,558,65884.14,0.13,5665680.0,14860061.71,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,467.78,356.15,0.7
32,10000,1.0,0,9989,0,0,0,0,0,0.0,11,576,68034.96,0.13,6024320.0,14861181.22,0,0,500,0.0,0,200,0,3,1,80.0,0.6,3,462.1,355.2,0.7
