tick,alive,alive_pct,dead,susceptible,exposed,infectious_asymptomatic,infectious_symptomatic,infectious_total,new_exposed,effective_r,recovered,vaccinated,gdp,unemployment_rate_pct,national_debt,bank_reserves,bank_in_crisis,healthcare_patients,healthcare_capacity,healthcare_occupancy_pct,healthcare_overwhelmed,companies_struggling,companies_bankrupt,lockdown_level,mask_mandate,stimulus_amount,vaccination_rate,testing_level,mean_wallet,median_wallet,consumer_demand_index
1,10000,1.0,0,9982,8,10,0,10,8,0.8,0,0,955260.0,0.0,0.0,15000000.0,0,0,500,0.0,0,0,0,0,0,0.0,0.0,0,1221.1,1219.84,1.0
2,10000,1.0,0,9975,15,10,0,10,7,0.7,0,0,955260.0,0.0,0.0,15000000.0,0,0,500,0.0,0,0,0,0,0,0.0,0.0,0,1245.66,1243.93,1.0
3,10000,1.0,0,9968,22,10,0,10,7,0.7,0,0,955260.0,0.0,0.0,15000000.0,0,0,500,0.0,0,0,0,0,0,0.0,0.0,0,1270.22,1270.21,1.0
4,10000,1.0,0,9962,28,0,0,0,6,0.6,10,0,955260.0,0.0,0.0,15000000.0,0,0,500,0.0,0,0,0,0,0,0.0,0.0,0,1294.78,1297.23,1.0
5,10000,1.0,0,9962,20,3,5,8,0,0.0,10,0,955260.0,0.0,0.0,15000000.0,0,5,500,1.0,0,0,0,0,0,0.0,0.0,0,1319.33,1320.67,1.0
6,10000,1.0,0,9960,15,7,8,15,2,0.25,10,0,954792.0,0.0,0.0,15000000.0,0,8,500,1.6,0,0,0,0,0,0.0,0.0,0,1343.85,1346.32,1.0
7,10000,1.0,0,9957,11,8,14,22,3,0.2,10,0,954486.0,0.0,0.0,15000000.0,0,14,500,2.8,0,0,0,0,0,0.0,0.0,0,1368.35,1369.69,1.0
8,10000,1.0,0,9946,16,10,18,28,11,0.5,10,0,953910.0,0.0,0.0,15000000.0,0,18,500,3.6,0,0,0,0,0,0.0,0.0,0,1392.8,1393.3,1.0
9,10000,1.0,0,9941,21,7,18,25,5,0.179,13,0,953532.0,0.0,0.0,15000000.0,0,18,500,3.6,0,0,0,0,0,0.0,0.0,0,1417.22,1416.05,1.0
10,10000,1.0,0,9937,23,4,19,23,4,0.16,17,0,953532.0,0.0,0.0,15000000.0,0,19,500,3.8,0,0,0,0,0,0.0,0.0,0,1441.63,1442.32,1.0
11,10000,1.0,0,9936,21,4,21,25,1,0.043,18,0,953442.0,0.0,0.0,15000000.0,0,21,500,4.2,0,0,0,0,0,0.0,0.0,0,1466.04,1469.1,1.0
12,10000,1.0,0,9934,12,8,26,34,2,0.08,20,0,953262.0,0.0,0.0,15000000.0,0,26,500,5.2,0,0,0,0,0,0.0,0.0,0,1490.44,1492.82,1.0
13,10000,1.0,0,9930,11,10,29,39,4,0.118,20,0,952812.0,0.0,0.0,15000000.0,0,29,500,5.8,0,0,0,0,0,0.0,0.0,0,1514.79,1517.63,1.0
14,10000,1.0,0,9928,9,11,31,42,2,0.051,21,0,952542.0,0.0,0.0,15000000.0,0,31,500,6.2,0,0,0,0,0,0.0,0.0,0,1539.12,1542.42,1.0
15,10000,1.0,0,9923,13,10,27,37,5,0.119,27,0,952362.0,0.0,0.0,15000000.0,0,27,500,5.4,0,0,0,0,0,0.0,0.0,0,1563.44,1567.32,1.0
16,10000,1.0,0,9919,15,5,25,30,4,0.108,36,0,952740.0,0.0,0.0,15000000.0,0,25,500,5.0,0,0,0,0,0,0.0,0.0,0,1587.79,1594.17,1.0
17,10000,1.0,0,9917,13,4,22,26,2,0.067,44,0,952956.0,0.0,0.0,15000000.0,0,22,500,4.4,0,0,0,0,0,0.0,0.0,0,1612.17,1617.36,1.0
18,9999,0.9999,1,9914,14,3,18,21,3,0.115,50,0,953223.87,0.0,0.0,15000000.0,0,18,500,3.6,0,0,0,0,0,0.0,0.0,0,1636.52,1642.68,1.0
19,9999,0.9999,1,9911,12,6,20,26,3,0.143,50,0,953511.86,0.0,0.0,15000000.0,0,20,500,4.0,0,0,0,0,0,0.0,0.0,0,1660.95,1666.62,1.0
20,9998,0.9998,2,9904,15,6,21,27,7,0.269,52,0,953293.73,0.0,0.0,15000000.0,0,21,500,4.2,0,0,0,0,0,0.0,0.0,0,1685.34,1691.54,0.9999
21,9998,0.9998,2,9899,18,6,20,26,5,0.185,55,0,953113.74,0.0,0.0,15000000.0,0,20,500,4.0,0,0,0,0,0,0.0,0.0,0,1709.74,1716.26,0.9999
22,9998,0.9998,2,9895,19,6,18,24,4,0.154,60,0,953203.74,0.0,0.0,15000000.0,0,18,500,3.6,0,0,0,0,0,0.0,0.0,0,1734.15,1741.92,0.9999
23,9998,0.9998,2,9893,18,4,17,21,2,0.083,66,0,953383.72,0.0,0.0,15000000.0,0,17,500,3.4,0,0,0,0,0,0.0,0.0,0,1758.58,1766.84,0.9999
