tick,alive,dead,susceptible,exposed,infectious_asymptomatic,infectious_symptomatic,recovered,vaccinated,gdp,unemployment_rate_pct,national_debt,bank_reserves,bank_in_crisis,healthcare_patients,healthcare_capacity,healthcare_overwhelmed,companies_struggling,companies_bankrupt,lockdown_level,mask_mandate,stimulus_amount,vaccination_rate,mean_wallet,median_wallet,consumer_demand_index
1,10000,0,9969,21,10,0,0,9,62993.7,0.0,14560.0,15000000.0,0,0,500,0,200,0,3,0,80.0,0.3,1155.84,1153.71,0.7
2,10000,0,9951,39,10,0,0,18,64288.98,0.0,30160.0,15000000.0,0,0,500,0,200,0,3,0,80.0,0.3,1115.41,1113.15,0.7
3,10000,0,9932,58,10,0,0,27,65314.62,0.0,48400.0,15000000.0,0,0,500,0,200,0,3,0,80.0,0.3,1075.36,1069.44,0.7
4,10000,0,9912,78,0,0,10,36,61944.12,0.0,72720.0,15000000.0,0,0,500,0,200,0,3,0,80.0,0.3,1035.59,1025.83,0.7
5,10000,0,9912,57,11,10,10,45,66800.16,0.0,102320.0,15000000.0,0,10,500,0,200,0,3,0,80.0,0.3,996.99,982.0,0.7
6,10000,0,9893,58,17,22,10,54,65664.9,0.0,139760.0,15000000.0,0,22,500,0,200,0,3,0,80.0,0.3,959.09,942.8,0.7
7,10000,0,9876,56,23,35,10,63,64666.98,0.0,188640.0,15000000.0,0,35,500,0,200,0,3,0,80.0,0.3,922.03,900.5,0.7
8,9998,2,9862,50,33,43,10,72,66384.09,0.0,246960.0,15000000.0,0,43,500,0,200,0,3,0,80.0,0.3,886.05,860.03,0.6999
9,9998,2,9845,67,22,43,21,81,62169.73,0.0,314640.0,15000000.0,0,43,500,0,200,0,3,0,80.0,0.3,850.52,817.14,0.6999
10,9998,2,9831,62,27,51,27,90,62957.16,0.0,400000.0,15000000.0,0,51,500,0,200,0,3,0,80.0,0.3,816.88,774.96,0.6999
11,9998,2,9809,67,30,59,33,99,66055.26,0.0,500880.0,15000000.0,0,59,500,0,200,0,3,0,80.0,0.3,785.16,733.37,0.6999
