tick,alive,dead,susceptible,exposed,infectious_asymptomatic,infectious_symptomatic,recovered,vaccinated,gdp,unemployment_rate_pct,national_debt,bank_reserves,bank_in_crisis,healthcare_patients,healthcare_capacity,healthcare_overwhelmed,companies_struggling,companies_bankrupt,lockdown_level,mask_mandate,stimulus_amount,vaccination_rate,mean_wallet,median_wallet,consumer_demand_index
1,10000,0,9655,335,10,0,0,0,955260.0,0.0,0.0,15000000.0,0,0,500,0,0,0,0,0,0.0,0.0,1221.1,1219.84,1.0
2,10000,0,9347,643,10,0,0,0,955260.0,0.0,0.0,15000000.0,0,0,500,0,0,0,0,0,0.0,0.0,1245.66,1243.93,1.0
3,10000,0,9033,957,10,0,0,0,955260.0,0.0,0.0,15000000.0,0,0,500,0,0,0,0,0,0.0,0.0,1270.22,1270.21,1.0
4,10000,0,8738,1252,0,0,10,0,955260.0,0.0,0.0,15000000.0,0,0,500,0,0,0,0,0,0.0,0.0,1294.78,1297.23,1.0
5,10000,0,8738,917,126,209,10,0,955260.0,0.0,0.0,15000000.0,0,209,500,0,0,0,0,0,0.0,0.0,1319.33,1320.67,1.0
6,10000,0,7240,2107,249,394,10,0,935460.0,0.0,0.0,15000000.0,0,394,500,0,0,0,0,0,0.0,0.0,1342.22,1344.8,1.0
7,10000,0,4902,4131,381,576,10,0,917784.0,0.0,0.0,15000000.0,0,576,500,1,0,0,0,0,0.0,0.0,1363.63,1364.33,1.0
8,9988,12,2824,5914,509,731,10,0,900053.77,0.0,0.0,15000000.0,0,731,500,1,0,0,0,0,0.0,0.0,1383.5,1385.8,0.9995
9,9982,18,1362,7376,383,725,136,0,883829.18,0.0,0.0,15000000.0,0,725,500,1,0,0,0,0,0.0,0.0,1402.46,1404.2,0.9993
10,9956,44,779,6461,847,1610,259,0,881471.87,0.0,0.0,15000000.0,0,1610,500,1,0,0,0,0,0.0,0.0,1421.52,1423.6,0.9982
11,9921,79,232,4670,1615,3013,391,0,793660.08,0.0,0.0,15000000.0,0,3013,500,1,0,0,0,0,0.0,0.0,1433.61,1438.31,0.9968
12,9862,138,22,2802,2304,4215,519,0,654125.19,0.0,0.0,15000000.0,0,4215,500,1,0,0,0,0,0.0,0.0,1434.71,1439.81,0.9945
13,9801,199,1,1361,2869,5051,519,0,533790.93,0.0,0.0,15000000.0,0,5051,500,1,23,0,0,0,0.0,0.0,1425.73,1434.12,0.992
14,9707,293,0,779,2516,5306,1106,0,447091.94,0.0,0.0,15000000.0,0,5306,500,1,111,0,0,0,0.0,0.0,1409.89,1419.22,0.9883
15,9624,376,0,232,1853,5352,2187,0,413801.4,0.0,0.0,15000000.0,0,5352,500,1,145,0,0,0,0.0,0.0,1392.72,1397.48,0.985
16,9559,441,0,22,1122,5245,3170,0,400136.84,0.0,0.0,15000000.0,0,5245,500,1,154,0,0,0,0.0,0.0,1373.71,1380.55,0.9824
17,9494,506,0,1,564,5036,3893,0,402834.2,0.0,0.0,15000000.0,0,5036,500,1,142,0,0,0,0.0,0.0,1355.59,1361.81,0.9798
18,9428,572,0,0,331,4817,4280,0,415221.28,0.0,0.0,15000000.0,0,4817,500,1,124,0,0,0,0.0,0.0,1339.06,1340.09,0.9771
19,9363,637,0,0,94,4752,4517,0,428395.09,0.0,0.0,15000000.0,0,4752,500,1,101,0,0,0,0.0,0.0,1324.75,1323.48,0.9745
20,9303,697,0,0,8,3903,5392,0,427340.06,0.0,0.0,15000000.0,0,3903,500,1,96,0,0,0,0.0,0.0,1311.53,1305.99,0.9721
21,9238,762,0,0,1,2604,6633,0,499283.41,0.0,0.0,15000000.0,0,2604,500,1,32,0,0,0,0.0,0.0,1305.55,1298.7,0.9695
22,9202,798,0,0,0,1474,7728,0,613079.26,0.0,0.0,15000000.0,0,1474,500,1,0,0,0,0,0.0,0.0,1309.72,1301.68,0.9681
23,9182,818,0,0,0,691,8491,0,713730.76,0.0,0.0,15000000.0,0,691,500,1,0,0,0,0,0.0,0.0,1322.77,1313.49,0.9673
24,9178,822,0,0,0,402,8776,0,784046.12,0.0,0.0,15000000.0,0,402,500,0,0,0,0,0,0.0,0.0,1341.9,1330.38,0.9671
25,9175,825,0,0,0,122,9053,0,810266.71,0.0,0.0,15000000.0,0,122,500,0,0,0,0,0,0.0,0.0,1363.43,1348.33,0.967
26,9175,825,0,0,0,11,9164,0,836166.83,0.0,0.0,15000000.0,0,11,500,0,0,0,0,0,0.0,0.0,1387.15,1369.81,0.967
27,9175,825,0,0,0,0,9175,0,846575.62,0.0,0.0,15000000.0,0,0,500,0,0,0,0,0,0.0,0.0,1411.8,1392.48,0.967
28,9175,825,0,0,0,0,9175,0,847585.17,0.0,0.0,15000000.0,0,0,500,0,0,0,0,0,0.0,0.0,1436.55,1421.0,0.967
29,9175,825,0,0,0,0,9175,0,847585.17,0.0,0.0,15000000.0,0,0,500,0,0,0,0,0,0.0,0.0,1461.29,1447.91,0.967
30,9175,825,0,0,0,0,9175,0,847585.17,0.0,0.0,15000000.0,0,0,500,0,0,0,0,0,0.0,0.0,1486.04,1474.16,0.967
31,9175,825,0,0,0,0,9175,0,847585.17,0.0,0.0,15000000.0,0,0,500,0,0,0,0,0,0.0,0.0,1510.81,1500.43,0.967
32,9175,825,0,0,0,0,9175,0,847585.17,0.0,0.0,15000000.0,0,0,500,0,0,0,0,0,0.0,0.0,1535.58,1526.06,0.967
