tick,alive,alive_pct,dead,susceptible,exposed,infectious_asymptomatic,infectious_symptomatic,infectious_total,new_exposed,effective_r,recovered,vaccinated,gdp,unemployment_rate_pct,national_debt,bank_reserves,bank_in_crisis,healthcare_patients,healthcare_capacity,healthcare_occupancy_pct,healthcare_overwhelmed,companies_struggling,companies_bankrupt,lockdown_level,mask_mandate,stimulus_amount,vaccination_rate,testing_level,mean_wallet,median_wallet,consumer_demand_index
1,10000,1.0,0,9989,1,10,0,10,1,0.1,0,6,369841.14,0.0,406360.0,15100000.0,0,0,550,0.0,0,98,0,1,1,40.0,0.2,2,1181.87,1180.12,0.9
2,10000,1.0,0,9986,4,10,0,10,3,0.3,0,12,367741.62,0.0,412920.0,15100000.0,0,0,550,0.0,0,106,0,1,1,40.0,0.2,2,1166.87,1164.03,0.9
3,10000,1.0,0,9984,6,10,0,10,2,0.2,0,18,370502.1,0.0,420080.0,15100000.0,0,0,550,0.0,0,93,0,1,1,40.0,0.2,2,1152.31,1150.82,0.9
4,10000,1.0,0,9983,7,0,0,0,1,0.1,10,24,371498.4,0.0,428120.0,15100000.0,0,0,550,0.0,0,85,0,1,1,40.0,0.2,2,1137.88,1134.89,0.9
5,10000,1.0,0,9983,6,0,1,1,0,0.0,10,30,369262.8,0.0,437120.0,15100000.0,0,1,550,0.18,0,94,0,1,1,40.0,0.2,2,1123.37,1119.1,0.9
6,10000,1.0,0,9983,3,1,3,4,0,0.0,10,36,367741.62,0.0,448480.0,15100000.0,0,3,550,0.55,0,98,0,1,1,40.0,0.2,2,1109.01,1101.89,0.9
7,10000,1.0,0,9983,1,1,5,6,0,0.0,10,42,375493.32,0.0,462520.0,15100000.0,0,5,550,0.91,0,87,0,1,1,40.0,0.2,2,1095.72,1084.59,0.9
8,10000,1.0,0,9983,0,2,5,7,0,0.0,10,48,375707.16,0.0,479800.0,15100000.0,0,5,550,0.91,0,86,0,1,1,40.0,0.2,2,1082.79,1072.31,0.9
9,10000,1.0,0,9983,0,2,5,7,0,0.0,10,54,372796.02,0.0,500240.0,15100000.0,0,5,550,0.91,0,87,0,1,1,40.0,0.2,2,1069.82,1055.09,0.9
10,9999,0.9999,1,9983,0,1,4,5,0,0.0,11,60,378782.97,0.0,524760.0,15100000.0,0,4,550,0.73,0,74,0,1,1,40.0,0.2,2,1057.83,1042.89,0.9
11,9999,0.9999,1,9983,0,1,4,5,0,0.0,11,66,372717.93,0.0,553840.0,15100000.0,0,4,550,0.73,0,82,0,1,1,40.0,0.2,2,1045.83,1023.26,0.9
12,9999,0.9999,1,9983,0,0,4,4,0,0.0,12,72,379220.35,0.0,586800.0,15100000.0,0,4,550,0.73,0,79,0,1,1,40.0,0.2,2,1034.82,1010.58,0.9
13,9999,0.9999,1,9983,0,0,4,4,0,0.0,12,78,375400.54,0.0,625320.0,15100000.0,0,4,550,0.73,0,84,0,1,1,40.0,0.2,2,1023.94,998.37,0.9
14,9999,0.9999,1,9983,0,0,4,4,0,0.0,12,84,381567.64,0.0,669480.0,15100000.0,0,4,550,0.73,0,78,0,1,1,40.0,0.2,2,1014.39,982.1,0.9
15,9999,0.9999,1,9983,0,0,3,3,0,0.0,13,90,387384.82,0.0,719080.0,15100000.0,0,3,550,0.55,0,79,0,1,1,40.0,0.2,2,1005.89,971.88,0.9
16,9999,0.9999,1,9983,0,0,2,2,0,0.0,14,96,383035.3,0.0,774240.0,15100000.0,0,2,550,0.36,0,65,0,1,1,40.0,0.2,2,997.6,958.9,0.9
17,9999,0.9999,1,9983,0,0,0,0,0,0.0,16,102,386840.53,0.0,833840.0,15100000.0,0,0,550,0.0,0,66,0,1,1,40.0,0.2,2,990.1,940.76,0.9
18,9999,0.9999,1,9983,0,0,0,0,0,0.0,16,108,386539.22,0.0,899160.0,15100000.0,0,0,550,0.0,0,62,0,1,1,40.0,0.2,2,983.22,926.08,0.9
19,9999,0.9999,1,9983,0,0,0,0,0,0.0,16,114,387350.81,0.0,969120.0,15100000.0,0,0,550,0.0,0,71,0,1,1,40.0,0.2,2,976.87,906.73,0.9
20,9999,0.9999,1,9983,0,0,0,0,0,0.0,16,120,386077.54,0.0,1044640.0,15100000.0,0,0,550,0.0,0,71,0,1,1,40.0,0.2,2,970.93,892.67,0.9
