tick,alive,dead,susceptible,exposed,infectious_asymptomatic,infectious_symptomatic,recovered,vaccinated,gdp,unemployment_rate_pct,national_debt,bank_reserves,bank_in_crisis,healthcare_patients,healthcare_capacity,healthcare_overwhelmed,companies_struggling,companies_bankrupt,lockdown_level,mask_mandate,stimulus_amount,vaccination_rate,mean_wallet,median_wallet,consumer_demand_index
1,10000,0,9969,21,10,0,0,0,62993.7,0.0,0.0,15000000.0,0,0,500,0,200,0,3,0,0.0,0.0,1154.39,1153.71,0.7
2,10000,0,9951,39,10,0,0,0,64207.08,0.0,0.0,15000000.0,0,0,500,0,200,0,3,0,0.0,0.0,1112.59,1112.23,0.7
3,10000,0,9932,58,10,0,0,0,68609.52,0.0,0.0,15000000.0,0,0,500,0,200,0,3,0,0.0,0.0,1071.38,1069.79,0.7
4,10000,0,9911,79,0,0,10,0,67384.8,0.0,0.0,15000000.0,0,0,500,0,200,0,3,0,0.0,0.0,1030.18,1028.06,0.7
5,10000,0,9911,58,9,12,10,0,71022.42,0.0,0.0,15000000.0,0,12,500,0,200,0,3,0,0.0,0.0,989.77,985.37,0.7
6,10000,0,9895,56,13,26,10,0,74787.3,0.0,0.0,15000000.0,0,26,500,0,200,0,3,0,0.0,0.0,949.89,943.35,0.7
7,10000,0,9877,55,21,37,10,0,75085.92,0.0,0.0,15000000.0,0,37,500,0,200,0,3,0,0.0,0.0,910.17,900.18,0.7
8,10000,0,9862,49,33,46,10,0,77462.28,0.0,0.0,15000000.0,0,46,500,0,200,0,3,0,0.0,0.0,871.04,857.1,0.7
9,10000,0,9848,63,24,46,19,0,82315.8,0.0,0.0,15000000.0,0,46,500,0,200,0,3,0,0.0,0.0,832.97,819.35,0.7
10,10000,0,9829,66,26,56,23,0,90086.22,0.0,0.0,15000000.0,0,56,500,0,200,0,3,0,0.0,0.0,796.25,776.06,0.7
11,9999,1,9809,68,23,68,31,0,91763.39,0.0,0.0,15000000.0,0,68,500,0,200,0,3,0,0.0,0.0,759.83,733.97,0.7
12,9998,2,9789,73,16,77,43,0,97600.61,0.0,0.0,15000000.0,0,77,500,0,200,0,3,0,0.0,0.0,724.82,694.1,0.6999
13,9998,2,9774,74,20,87,43,0,105593.41,0.0,0.0,15000000.0,0,87,500,0,200,0,3,0,0.0,0.0,691.65,651.35,0.6999
14,9997,3,9747,82,23,96,49,0,110433.31,0.0,0.0,15000000.0,0,96,500,0,200,0,3,0,0.0,0.0,659.43,607.38,0.6999
15,9997,3,9727,82,26,98,64,0,115772.55,0.04,0.0,14950000.0,0,98,500,0,200,0,3,0,0.0,0.0,628.76,562.69,0.6999
16,9995,5,9702,87,29,95,82,0,123449.01,0.04,0.0,14950400.0,0,95,500,0,199,0,3,0,0.0,0.0,599.75,519.55,0.6999
17,9993,7,9677,97,29,94,96,0,133628.41,0.08,0.0,14900796.8,0,94,500,0,192,0,3,0,0.0,0.0,572.61,479.22,0.6998
18,9992,8,9647,100,28,103,114,0,139039.33,0.08,0.0,14901590.43,0,103,500,0,194,0,3,0,0.0,0.0,546.89,437.7,0.6998
19,9992,8,9629,98,24,119,122,0,146276.98,0.14,0.0,14852377.7,0,119,500,0,190,0,3,0,0.0,0.0,522.88,394.74,0.6998
20,9992,8,9593,109,26,124,140,0,152491.83,0.14,0.0,14853558.68,0,124,500,0,177,0,3,0,0.0,0.0,500.03,352.03,0.6998
21,9992,8,9561,116,32,128,155,0,161427.41,0.14,0.0,14854730.21,0,128,500,0,162,0,3,0,0.0,0.0,479.36,312.53,0.6998
22,9992,8,9538,109,37,135,173,0,168301.03,0.19,0.0,14805892.37,0,135,500,0,163,0,3,0,0.0,0.0,459.58,269.99,0.6998
23,9991,9,9506,123,41,134,187,0,172739.23,0.23,0.0,14757445.23,0,134,500,0,140,0,3,0,0.0,0.0,441.1,235.52,0.6997
24,9990,10,9477,116,46,144,207,0,177635.54,0.23,0.0,14759385.67,0,144,500,0,126,0,3,0,0.0,0.0,423.83,220.25,0.6997
25,9990,10,9447,114,43,157,229,0,185572.88,0.23,0.0,14761310.58,0,157,500,0,106,0,3,0,0.0,0.0,408.11,210.55,0.6997
26,9989,11,9409,129,39,159,253,0,191556.64,0.28,0.0,14713220.1,0,159,500,0,92,0,3,0,0.0,0.0,393.37,203.78,0.6997
27,9989,11,9383,123,42,170,271,0,193894.17,0.28,0.0,14715514.34,0,170,500,0,82,0,3,0,0.0,0.0,379.57,197.92,0.6997
28,9987,13,9353,124,37,170,303,0,195680.77,0.28,0.0,14717790.22,0,170,500,0,68,0,3,0,0.0,0.0,366.48,193.62,0.6996
29,9986,14,9326,121,42,172,325,0,206288.79,0.28,0.0,14720047.9,0,172,500,0,45,0,3,0,0.0,0.0,355.43,189.88,0.6996
30,9986,14,9287,122,46,182,349,0,206603.62,0.28,0.0,14722287.52,0,182,500,0,42,0,3,0,0.0,0.0,344.76,187.21,0.6996
31,9985,15,9246,137,43,184,375,0,210044.42,0.28,0.0,14724509.22,0,184,500,0,39,0,3,0,0.0,0.0,334.71,184.4,0.6996
32,9985,15,9210,143,43,188,401,0,213021.27,0.28,0.0,14726713.14,0,188,500,0,33,0,3,0,0.0,0.0,325.36,182.14,0.6996
33,9984,16,9160,166,39,196,423,0,216989.28,0.28,0.0,14728899.44,0,196,500,0,28,0,3,0,0.0,0.0,316.72,179.82,0.6996
34,9983,17,9120,167,41,198,457,0,220518.79,0.28,0.0,14731068.24,0,198,500,0,19,0,3,0,0.0,0.0,308.94,178.09,0.6995
35,9981,19,9072,174,48,198,489,0,219055.75,0.28,0.0,14733219.7,0,198,500,0,20,0,3,0,0.0,0.0,301.05,175.51,0.6995
36,9981,19,9023,187,51,208,512,0,225085.31,0.28,0.0,14735353.94,0,208,500,0,19,0,3,0,0.0,0.0,294.18,174.75,0.6995
37,9980,20,8968,192,65,214,541,0,228966.58,0.28,0.0,14737471.11,0,214,500,0,12,0,3,0,0.0,0.0,287.92,173.86,0.6994
38,9979,21,8904,216,68,218,573,0,224212.46,0.28,0.0,14739571.34,0,218,500,0,9,0,3,0,0.0,0.0,281.54,171.38,0.6994
39,9978,22,8821,251,71,231,604,0,231064.44,0.28,0.0,14741654.77,0,231,500,0,8,0,3,0,0.0,0.0,276.04,170.29,0.6994
40,9977,23,8750,273,80,233,641,0,229792.58,0.28,0.0,14743721.53,0,233,500,0,12,0,3,0,0.0,0.0,270.86,169.08,0.6994
41,9974,26,8656,312,84,242,680,0,231300.58,0.28,0.0,14745771.76,0,242,500,0,11,0,3,0,0.0,0.0,265.65,167.96,0.6993
